名称,代号,主分区tid,tid,简介,备注
动画(主分区),douga,1,1,,
MAD·AMV,mad,1,24,具有一定创作度的动/静画二次创作视频,
MMD·3D,mmd,1,25,使用 mmd（mikumikudance）和其他 3d 建模类软件制作的视频,
短片·手书·配音,voice,1,47,追求个人特色和创意表达的自制动画短片、手书（绘）及 acgn 相关配音,
手办·模玩,garage_kit,1,210,手办模玩的测评、改造或其他衍生内容,
特摄,tokusatsu,1,86,特摄相关衍生视频,
动漫杂谈,acgntalks,1,253,以谈话形式对 ACGN 文化圈进行的鉴赏、吐槽、评点、解说、推荐、科普等内容,
综合,other,1,27,以动画及动画相关内容为素材，包括但不仅限于音频替换、恶搞改编、排行榜等内容,
番剧(主分区),anime,13,13,,
资讯,information,13,51,以动画/轻小说/漫画/杂志为主的资讯内容，PV/CM/特报/冒头/映像/预告,
官方延伸,offical,13,152,以动画番剧及声优为主的 EVENT/生放送/DRAMA/RADIO/LIVE/特典/冒头等,
完结动画,finish,13,32,已完结 TV/WEB 动画及其独立系列，旧剧场版/OVA/SP/未放送,
连载动画,serial,13,33,连载中 TV/WEB 动画，新剧场版/OVA/SP/未放送/小剧场,
国创(主分区),guochuang,167,167,,
国产动画,chinese,167,153,国产连载动画，国产完结动画,
国产原创相关,original,167,168,以国产动画、漫画、小说为素材的二次创作,
布袋戏,puppetry,167,169,布袋戏以及相关剪辑节目,
资讯,information,167,170,原创国产动画、漫画的相关资讯、宣传节目等,
动态漫·广播剧,motioncomic,167,195,国产动态漫画、有声漫画、广播剧,
音乐(主分区),music,3,3,,
原创音乐,original,3,28,原创歌曲及纯音乐，包括改编、重编曲及 remix,
翻唱,cover,3,31,对曲目的人声再演绎视频,
VOCALOID·UTAU,vocaloid,3,30,以 vocaloid 等歌声合成引擎为基础，运用各类音源进行的创作,
演奏,perform,3,59,乐器和非传统乐器器材的演奏作品,
MV,mv,3,193,为音乐作品配合拍摄或制作的音乐录影带（music video），以及自制拍摄、剪辑、翻拍 mv,
音乐现场,live,3,29,音乐表演的实况视频，包括官方/个人拍摄的综艺节目、音乐剧、音乐节、演唱会等,
音乐综合,other,3,130,所有无法被收纳到其他音乐二级分区的音乐类视频,
乐评盘点,commentary,3,243,音乐类新闻、盘点、点评、reaction、榜单、采访、幕后故事、唱片开箱等,
音乐教学,tutorial,3,244,以音乐教学为目的的内容,
电音 (已下线),electronic,3,194,以电子合成器、音乐软体等产生的电子声响制作的音乐,
舞蹈(主分区),dance,129,129,,
宅舞,otaku,129,20,与 acg 相关的翻跳、原创舞蹈,
舞蹈综合,three_d,129,154,收录无法定义到其他舞蹈子分区的舞蹈视频,
舞蹈教程,demo,129,156,镜面慢速，动作分解，基础教程等具有教学意义的舞蹈视频,
街舞,hiphop,129,198,收录街舞相关内容，包括赛事现场、舞室作品、个人翻跳、freestyle 等,
明星舞蹈,star,129,199,国内外明星发布的官方舞蹈及其翻跳内容,
中国舞,china,129,200,传承中国艺术文化的舞蹈内容，包括古典舞、民族民间舞、汉唐舞、古风舞等,
游戏(主分区),game,4,4,,
单机游戏,stand_alone,4,17,以所有平台（pc、主机、移动端）的单机或联机游戏为主的视频内容，包括游戏预告、cg、实况解说及相关的评测、杂谈与视频剪辑等,
电子竞技,esports,4,171,具有高对抗性的电子竞技游戏项目，其相关的赛事、实况、攻略、解说、短剧等视频。,
手机游戏,mobile,4,172,以手机及平板设备为主要平台的游戏，其相关的实况、攻略、解说、短剧、演示等视频。,
网络游戏,online,4,65,由网络运营商运营的多人在线游戏，以及电子竞技的相关游戏内容。包括赛事、攻略、实况、解说等相关视频,
桌游棋牌,board,4,173,桌游、棋牌、卡牌对战等及其相关电子版游戏的实况、攻略、解说、演示等视频。,
GMV,gmv,4,121,由游戏素材制作的 mv 视频。以游戏内容或 cg 为主制作的，具有一定创作程度的 mv 类型的视频,
音游,music,4,136,各个平台上，通过配合音乐与节奏而进行的音乐类游戏视频,
Mugen,mugen,4,19,以 mugen 引擎为平台制作、或与 mugen 相关的游戏视频,
知识(主分区),knowledge,36,36,,
科学科普,science,36,201,回答你的十万个为什么,
社科·法律·心理( 原社科人文、原趣味科普人文 ),social_science,36,124,基于社会科学、法学、心理学展开或个人观点输出的知识视频,
人文历史,humanity_history,36,228,看看古今人物，聊聊历史过往，品品文学典籍,
财经商业,business,36,207,说金融市场，谈宏观经济，一起畅聊商业故事,
